filename, IC, LED, battery, buzzer, capacitor, clock, connector, diode, display, fuse, inductor, potentiometer, relay, resistor, switch, transistor
PCBA_298_jpg.rf.e630400837878a63b52ac2c5ad2bed5c.jpg, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0
PCBA_346_jpg.rf.e607b12b1b1e996cf43db3c09864ddae.jpg, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
PCBA_27_jpg.rf.e458975757614f8e9229f97f22061c39.jpg, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1
PCBA_127_jpg.rf.ec093e3e127e50c41dbf1205504bd1cc.jpg, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
PCBA_312_jpg.rf.e6ab4dcbd266c7a7e5cda6fb2975f619.jpg, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0
PCBA_251_jpg.rf.ea71c7f348cadd7275df4a421a4e423f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
PCBA_579_jpg.rf.ef6867304f8f23dc66ce9c63dbd666bc.jpg, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0
PCBA_342_jpg.rf.e67bd189e078a35dd82977dfe4ba5a3c.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
PCBA_548_jpg.rf.eb7686c7259834a5fafcdc68752f2c91.jpg, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1
button8_jpg.rf.ed5fcb5035dfdcbb43b956bbf1ffa7c4.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
PCBA_242_jpg.rf.ee6c7595ff86d46c5c4314ed0370238c.jpg, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0
PCBA_293_jpg.rf.efeae3c5b8777fc3c175eb160498ebcd.jpg, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
